PHY_IDENT,HabClass,BC_CLASS,EXP_BIO,SHORETYPE,ESI,ORI,TRSH,DUGR,SPZO,BLLI,WHLI,YELI,BARN,BLMU,GRAL,BRAL,SURF,EELG,SOBK,ROCK,DRKE,BUKE,CMECS_1,CMECS_2,LENGTH_M,Slope_calc,SHORE_PROB,LOST_SHORE,Wave_Dissipation,Orient_dir,Tidal_height,CVI_Rank,REAL,ALAR,DABK
04/02/0146/A,51,6,P,6,5,5,P,NA,NA,M,NA,NA,C,NA,NA,NA,NA,NA,C,C,NA,NA,S1.2.1.2.1,NA,113.509,13,NA,NA,Plunging,SE,7.2,Low,NA,NA,NA
04/02/0147/A,40,3,SP,3,5,5,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,P,C,NA,NA,S1.1,S1.2.1.2.1,100.782,20,NA,NA,Plunging,W,7.2,Low,NA,NA,NA
04/02/0147/B,40,3,SP,3,5,3,NA,NA,NA,M,NA,NA,C,NA,NA,NA,NA,NA,C,C,NA,NA,S1.1,S1.2.1.2.1,104.704,26,NA,NA,Plunging,E,7.2,Low,NA,NA,NA
04/02/0148/A,50,3,P,3,8A,5,NA,NA,NA,M,NA,NA,C,NA,NA,NA,NA,NA,P,C,NA,NA,S1.1,S1.2.1.2.1,69.749,17,NA,NA,Plunging,NE,7.2,Low,NA,NA,NA
04/02/0148/B,50,6,P,6,5,5,NA,NA,NA,M,NA,NA,NA,NA,NA,NA,NA,NA,C,NA,NA,NA,S1.2.1.2.1,NA,94.012,10,NA,NA,Plunging,E,7.2,Low,NA,NA,NA
04/02/0148/C,50,3,P,3,5,5,NA,NA,NA,M,NA,NA,C,NA,NA,NA,NA,NA,C,P,NA,NA,S1.1,S1.2.1.2.1,95.748,12,NA,NA,Plunging,E,7.2,Low,NA,NA,NA
04/02/0149/A,40,3,SP,3,8A,5,NA,NA,NA,M,NA,NA,C,NA,NA,NA,NA,NA,C,P,NA,NA,S1.1,S1.2.1.2.1,66.066,14,NA,NA,Plunging,N,7.2,Low,NA,NA,NA
04/02/0149/B,40,1,SP,1,2A,3,NA,NA,NA,M,NA,NA,C,NA,NA,NA,NA,NA,C,P,NA,NA,S1.1,NA,60.56,10,NA,NA,Plunging,N,7.2,Low,NA,NA,NA
04/02/0149/C,40,3,SP,3,8A,5,NA,NA,NA,M,NA,NA,C,NA,NA,NA,NA,NA,C,C,NA,NA,S1.1,S1.2.1.2.1,117.449,14,NA,NA,Plunging,N,7.2,Low,NA,NA,NA
04/02/0150/A,51,7,P,7,9A,5,NA,NA,N,N,NA,NA,P,NA,NA,NA,NA,NA,C,C,NA,NA,S1.2.2.2,NA,164.389,5,NA,NA,Spilling,N,7.2,Low,NA,NA,NA
04/02/0150/B,51,3,P,3,8A,5,NA,NA,NA,N,NA,NA,C,NA,P,NA,NA,NA,C,P,NA,NA,S1.1,S1.2.1.2.1,77.753,10,NA,NA,Plunging,E,7.2,Low,NA,NA,NA
04/02/0151/A,40,3,SP,3,8A,5,NA,NA,NA,M,NA,NA,C,NA,NA,NA,NA,NA,C,C,NA,NA,S1.1,S1.2.1.2.1,255.047,36,NA,NA,Collapsing,N,7.2,Low,NA,NA,NA
04/02/0152/A,40,3,SP,3,8A,3,NA,NA,NA,M,NA,NA,C,NA,NA,NA,NA,NA,C,C,NA,NA,S1.1,S1.2.1.2.1,400.674,36,NA,NA,Collapsing,NW,7.2,Low,NA,NA,NA
04/02/0153/A,40,1,SP,1,8A,3,NA,NA,NA,M,NA,NA,C,C,NA,NA,NA,NA,NA,C,NA,NA,S1.1,NA,784.873,67,NA,NA,Surging,W,7.2,Low,NA,NA,NA
04/02/0154/A,53,7,P,7,9A,4,NA,C,NA,M,NA,NA,NA,NA,C,NA,NA,NA,C,P,NA,NA,S1.2.2.2,NA,212.546,6,NA,NA,Spilling,NW,7.2,Low,NA,NA,NA
04/02/0155/A,50,7,P,7,9A,5,NA,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C,C,NA,NA,S1.2.2.2,NA,118.171,7,NA,NA,Plunging,N,7.2,Low,NA,NA,NA
04/02/0155/B,50,6,P,6,5,5,NA,NA,NA,M,NA,NA,P,NA,P,NA,NA,NA,C,C,NA,NA,S1.2.1.2.1,NA,330.297,12,NA,NA,Plunging,N,7.2,Low,NA,NA,NA
04/02/0156/A,50,3,P,3,8A,5,NA,NA,NA,M,NA,NA,C,P,C,NA,NA,NA,C,C,NA,NA,S1.1,S1.2.1.2.1,212.978,20,NA,NA,Plunging,W,7.2,Low,NA,NA,NA
04/02/0157/A,51,6,P,6,5,5,NA,C,NA,M,NA,NA,P,NA,P,NA,NA,NA,C,NA,NA,NA,S1.2.1.2.1,NA,273.315,10,NA,NA,Plunging,W,7.2,Low,NA,NA,NA
04/02/0158/A,40,3,SP,3,8A,5,NA,NA,NA,M,NA,NA,C,P,P,NA,NA,NA,C,C,NA,NA,S1.1,S1.2.1.2.1,444.3,36,NA,NA,Collapsing,NW,7.2,Low,NA,NA,NA
04/02/0159/A,51,6,P,6,5,5,NA,NA,NA,N,NA,NA,P,NA,C,NA,NA,NA,C,NA,NA,NA,S1.2.1.2.1,NA,97.195,10,NA,NA,Plunging,SW,7.2,Low,NA,NA,NA
04/02/0160/A,50,3,P,3,8A,5,NA,NA,NA,M,NA,NA,C,NA,P,NA,NA,NA,C,C,NA,NA,S1.1,S1.2.1.2.1,280.331,24,NA,NA,Plunging,W,7.2,Low,NA,NA,NA
04/02/0161/A,50,6,P,6,9A,5,NA,P,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,C,P,NA,NA,S1.2.1.2.1,NA,317.346,7,NA,NA,Plunging,NW,7.3,Low,NA,NA,NA
04/02/0162/A,50,3,P,3,8A,5,NA,NA,M,M,NA,NA,P,NA,NA,NA,NA,NA,C,C,NA,NA,S1.1,S1.2.1.2.1,288.824,16,NA,NA,Plunging,NW,7.3,Low,NA,NA,NA
04/02/0163/A,40,7,SP,7,5,5,NA,NA,M,M,NA,NA,C,NA,P,NA,NA,NA,C,P,NA,NA,S1.2.2.2,NA,286.875,13,NA,NA,Plunging,NW,7.3,Low,NA,NA,NA
04/02/0164/A,40,3,SP,3,5,5,NA,NA,NA,M,NA,NA,NA,NA,C,NA,NA,NA,C,C,NA,NA,S1.1,S1.2.1.2.1,429.221,8,NA,NA,Plunging,NW,7.3,Low,NA,NA,NA
04/02/0165/A,51,6,P,6,9A,5,NA,NA,NA,M,NA,NA,P,P,C,NA,NA,NA,C,C,NA,NA,S1.2.1.2.1,NA,123.168,7,NA,NA,Plunging,W,7.3,Low,NA,NA,NA
04/02/0166/A,40,3,SP,3,8A,5,NA,NA,NA,M,NA,NA,C,NA,C,NA,NA,NA,C,C,NA,NA,S1.1,S1.2.1.2.1,511.48,15,NA,NA,Plunging,N,7.3,Low,NA,NA,NA
04/02/0167/A,40,7,SP,7,9A,5,NA,NA,NA,M,NA,NA,P,NA,C,NA,NA,NA,C,P,NA,NA,S1.2.2.2,NA,134.181,3,NA,NA,Spilling,W,7.3,Low,NA,NA,NA
04/02/0168/A,41,3,SP,3,9A,5,NA,NA,NA,M,NA,NA,P,NA,C,NA,NA,NA,C,C,NA,NA,S1.1,S1.2.1.2.1,207.026,3,NA,NA,Spilling,NW,7.3,Low,NA,NA,NA
04/02/0169/A,51,3,P,3,9A,5,NA,P,NA,M,NA,NA,P,C,P,NA,NA,NA,P,C,NA,NA,S1.1,S1.2.1.2.1,336.946,3,NA,NA,Spilling,W,7.3,Low,NA,NA,NA
04/02/0170/A,51,3,P,3,8A,5,NA,NA,NA,N,NA,NA,C,P,NA,NA,NA,NA,NA,C,NA,NA,S1.1,S1.2.1.2.1,184.244,42,NA,NA,Surging,W,7.3,Low,NA,NA,NA
04/02/0171/A,42,6,SP,6,9A,5,NA,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C,C,NA,NA,S1.2.1.2.1,NA,680.991,3,NA,NA,Spilling,NW,7.3,Low,NA,NA,NA
04/02/0171/B,42,2,SP,2,6B,3,NA,NA,NA,M,NA,NA,C,C,C,NA,NA,NA,C,C,NA,NA,S1.1,S1.2.1.1,282.497,26,NA,NA,Plunging,NW,7.3,Low,NA,NA,NA
04/02/0172/A,41,3,SP,3,9A,5,NA,P,NA,M,NA,NA,NA,C,NA,NA,NA,NA,C,P,NA,NA,S1.1,S1.2.1.2.1,569.335,7,NA,NA,Plunging,NW,7.3,Low,NA,NA,NA
04/02/0173/A,41,6,SP,6,9A,5,NA,NA,NA,M,NA,NA,P,C,C,NA,NA,NA,C,C,NA,NA,S1.2.1.2.1,NA,185.275,3,NA,NA,Spilling,NW,7.3,Low,NA,NA,NA
04/02/0174/A,41,6,SP,6,9A,5,NA,C,NA,NA,NA,NA,NA,C,C,NA,NA,NA,C,C,NA,NA,S1.2.1.2.1,NA,440.766,1,NA,NA,Spilling,W,7.3,Low,NA,NA,NA
04/02/0175/A,53,7,P,7,9A,4,NA,NA,NA,NA,NA,NA,NA,NA,C,NA,NA,C,NA,C,NA,NA,S1.2.2.2,NA,799.357,1,NA,NA,Spilling,N,7.3,Low,NA,NA,NA
04/02/0175/B,53,10,P,10,10A,5,NA,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S1.2,S2.3,1586.548,36,NA,NA,Plunging,N,7.3,Low,NA,NA,NA
04/02/0176/A,53,10,P,10,10A,4,NA,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,C,NA,C,NA,NA,S1.2,S2.3,1072.148,1,NA,NA,Spilling,N,7.3,Low,NA,NA,NA
04/02/0177/A,53,7,P,7,9A,4,NA,NA,NA,N,NA,NA,NA,P,NA,NA,NA,C,NA,C,NA,NA,S1.2.2.2,NA,1013.164,14,NA,NA,Plunging,W,7.3,Low,NA,NA,NA
04/02/0178/A,53,7,P,7,9A,4,NA,NA,NA,N,NA,NA,NA,NA,C,NA,NA,NA,NA,NA,NA,NA,S1.2.2.2,NA,417.405,4,NA,NA,Spilling,W,7.3,Low,NA,NA,NA
04/02/0179/A,53,7,P,7,9A,4,NA,NA,NA,NA,NA,NA,NA,NA,P,NA,NA,NA,NA,NA,NA,NA,S1.2.2.2,NA,135.714,12,NA,NA,Plunging,N,7.3,Low,NA,NA,NA
04/02/0180/A,53,7,P,7,9A,4,NA,NA,NA,NA,NA,NA,NA,NA,C,NA,NA,NA,NA,C,NA,NA,S1.2.2.2,NA,145.757,5,NA,NA,Spilling,S,7.3,Low,NA,NA,NA
04/02/0181/A,53,7,P,7,9A,4,NA,NA,NA,NA,NA,NA,NA,C,NA,NA,NA,NA,NA,C,NA,NA,S1.2.2.2,NA,326.623,6,NA,NA,Spilling,W,7.3,Low,NA,NA,NA
04/02/0182/A,53,7,P,7,9A,4,NA,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,C,NA,C,NA,NA,S1.2.2.2,NA,809.79,1,NA,NA,Spilling,S,7.3,Low,NA,NA,NA
04/02/0183/A,53,7,P,7,9A,4,NA,C,NA,N,NA,NA,NA,NA,NA,NA,NA,C,NA,C,NA,NA,S1.2.2.2,NA,445.934,1,NA,NA,Spilling,SE,7.3,Low,NA,NA,NA
04/02/0184/A,53,7,P,7,9A,4,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,C,NA,C,NA,NA,S1.2.2.2,NA,146.194,1,NA,NA,Spilling,SE,7.3,Low,NA,NA,NA
04/02/0185/A,51,7,P,7,9A,4,NA,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S1.2.2.2,NA,316.227,1,NA,NA,Spilling,E,7.3,Low,NA,NA,NA
04/02/0186/A,43,7,SP,7,9A,4,NA,C,NA,NA,NA,NA,NA,C,C,NA,NA,NA,C,C,NA,NA,S1.2.2.2,NA,1066.811,1,NA,NA,Spilling,W,7.3,Low,NA,NA,NA
04/02/0187/A,41,7,SP,7,9A,4,NA,P,NA,NA,NA,NA,NA,C,C,NA,NA,NA,C,C,NA,NA,S1.2.2.2,NA,3553.934,1,NA,NA,Spilling,W,7.3,Low,NA,NA,NA
04/02/0188/A,41,7,SP,7,9A,4,NA,C,NA,NA,NA,NA,NA,C,C,NA,NA,NA,C,C,NA,NA,S1.2.2.2,NA,775.429,1,NA,NA,Spilling,W,7.3,Low,NA,NA,NA
04/02/0189/A,43,7,SP,7,9A,4,NA,NA,NA,NA,NA,NA,NA,C,C,NA,NA,NA,C,C,NA,NA,S1.2.2.2,NA,158.056,1,NA,NA,Spilling,W,7.3,Low,NA,NA,NA
04/02/0190/A,41,7,SP,7,10A,4,NA,NA,NA,N,NA,NA,NA,C,C,NA,NA,NA,C,C,NA,NA,S1.2.2.2,NA,1071.375,1,NA,NA,Spilling,W,7.3,Low,NA,NA,NA
04/02/0191/A,41,4,SP,4,9A,4,NA,P,NA,N,NA,NA,NA,NA,C,NA,NA,C,C,C,NA,NA,S1.1,S1.2.2.2,995.864,1,NA,NA,Spilling,S,7.3,Low,NA,NA,NA
04/02/0192/A,53,7,P,7,9A,4,NA,C,NA,NA,NA,NA,NA,NA,C,NA,NA,C,C,C,NA,NA,S1.2.2.2,NA,451.007,1,NA,NA,Spilling,S,7.3,Low,NA,NA,NA
04/02/0193/A,51,7,P,7,9A,4,NA,NA,NA,N,NA,NA,NA,NA,C,NA,NA,C,C,C,NA,NA,S1.2.2.2,NA,1934.297,0,NA,NA,Spilling,W,7.3,Low,NA,NA,NA
04/02/0194/A,51,7,P,7,9A,4,NA,P,NA,N,NA,NA,NA,NA,C,NA,NA,C,NA,C,NA,NA,S1.2.2.2,NA,78.45,1,NA,NA,Spilling,NE,7.3,Low,NA,NA,NA
04/02/0195/A,51,7,P,7,9A,4,NA,NA,NA,M,NA,NA,C,NA,C,NA,NA,C,C,C,NA,NA,S1.2.2.2,NA,118.916,1,NA,NA,Spilling,NW,7.3,Low,NA,NA,NA
04/02/0196/A,51,7,P,7,9A,4,NA,NA,NA,N,NA,NA,NA,NA,C,NA,NA,C,C,C,NA,NA,S1.2.2.2,NA,118.46,1,NA,NA,Spilling,N,7.3,Low,NA,NA,NA
04/02/0197/A,51,7,P,7,9A,4,NA,NA,NA,N,NA,NA,C,NA,C,NA,NA,C,C,C,NA,NA,S1.2.2.2,NA,131.933,1,NA,NA,Spilling,N,7.3,Low,NA,NA,NA
04/02/0198/A,51,7,P,7,9A,4,NA,NA,NA,M,NA,NA,C,NA,C,NA,NA,C,C,C,NA,NA,S1.2.2.2,NA,87.235,1,NA,NA,Spilling,NW,7.3,Low,NA,NA,NA
04/02/0199/A,51,7,P,7,9A,4,NA,NA,NA,M,NA,NA,NA,NA,C,NA,NA,C,C,C,NA,NA,S1.2.2.2,NA,306.154,1,NA,NA,Spilling,N,7.3,Low,NA,NA,NA
04/02/0200/A,41,4,SP,4,9A,4,NA,NA,NA,M,NA,NA,C,NA,C,NA,NA,C,C,C,NA,NA,S1.1,S1.2.2.2,100.383,2,NA,NA,Spilling,N,7.3,Low,NA,NA,NA
04/02/0201/A,41,6,SP,6,9A,4,NA,NA,NA,M,NA,NA,P,NA,C,NA,NA,P,C,C,NA,NA,S1.2.1.2.1,NA,665.265,1,NA,NA,Spilling,W,7.3,Low,NA,NA,NA
04/02/0202/A,43,6,SP,6,10A,4,NA,P,NA,NA,NA,NA,NA,NA,C,NA,NA,C,C,C,NA,NA,S1.2.1.2.1,NA,493.076,1,NA,NA,Spilling,NW,7.3,Low,NA,NA,NA
04/02/0203/A,43,6,SP,6,10A,4,NA,NA,NA,NA,NA,NA,NA,C,C,NA,NA,P,C,C,NA,NA,S1.2.1.2.1,NA,1871.566,1,NA,NA,Spilling,NW,7.3,Low,NA,NA,NA
04/02/0204/A,43,6,SP,6,10A,4,NA,NA,NA,NA,NA,NA,NA,C,C,NA,NA,C,C,C,NA,NA,S1.2.1.2.1,NA,1519.458,1,NA,NA,Spilling,NW,7.3,Low,NA,NA,NA
04/02/0205/A,41,6,SP,6,9A,4,NA,NA,NA,NA,NA,NA,NA,C,C,NA,NA,NA,NA,C,NA,NA,S1.2.1.2.1,NA,8152.081,1,NA,NA,Spilling,NW,7.3,Low,NA,NA,NA
04/02/0206/A,43,6,SP,6,10A,4,NA,NA,NA,NA,NA,NA,NA,C,C,NA,NA,P,P,C,NA,NA,S1.2.1.2.1,NA,1087.599,1,NA,NA,Spilling,NW,7.3,Low,NA,NA,NA
04/02/0207/A,53,6,P,6,10A,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S1.2.1.2.1,NA,782.449,1,NA,NA,Spilling,NW,7.3,Low,NA,NA,NA
04/02/0208/A,31,6,SE,6,9A,4,NA,C,NA,NA,NA,NA,NA,NA,C,NA,NA,NA,C,C,NA,NA,S1.2.1.2.1,NA,465.505,3,NA,NA,Spilling,N,7.3,Low,NA,NA,NA
04/02/0209/A,31,6,SE,6,9A,4,NA,C,NA,NA,NA,NA,NA,P,C,NA,NA,NA,C,NA,NA,NA,S1.2.1.2.1,NA,255.671,8,NA,NA,Plunging,W,7.3,Low,NA,NA,NA
04/02/0210/A,32,6,SE,6,9A,4,NA,C,NA,NA,NA,NA,NA,C,C,NA,NA,NA,C,NA,NA,NA,S1.2.1.2.1,NA,451.423,6,NA,NA,Spilling,W,7.3,Low,NA,NA,NA
04/02/0211/A,32,6,SE,6,3A,4,NA,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S1.2.1.2.1,NA,611.107,15,NA,NA,Plunging,W,7.3,Low,NA,NA,NA
04/02/0212/A,32,6,SE,6,9A,5,NA,C,NA,NA,NA,NA,NA,P,C,NA,NA,NA,C,NA,NA,NA,S1.2.1.2.1,NA,1569.365,4,NA,NA,Spilling,W,7.3,Low,NA,NA,NA
04/02/0213/A,43,10,SP,10,10A,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S1.2,S2.3,478.22,2,NA,NA,Spilling,W,7.3,Low,NA,NA,NA
04/02/0214/A,41,7,SP,7,9A,4,NA,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S1.2.2.2,NA,421.655,16,NA,NA,Plunging,E,7.3,Low,NA,NA,NA
04/02/0215/A,41,7,SP,7,9A,4,NA,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S1.2.2.2,NA,628.107,26,NA,NA,Plunging,E,7.3,Low,NA,NA,NA
04/02/0216/A,41,7,SP,7,9A,4,NA,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C,NA,NA,S1.2.2.2,NA,713.742,16,NA,NA,Plunging,E,7.3,Low,NA,NA,NA
04/02/0217/A,41,7,SP,7,9A,4,NA,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S1.2.2.2,NA,212.624,16,NA,NA,Plunging,E,7.3,Low,NA,NA,NA
04/02/0218/A,43,10,SP,10,10A,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S1.2,S2.3,202.552,3,NA,NA,Spilling,W,7.3,Low,NA,NA,NA
04/02/0219/A,43,10,SP,10,10A,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S1.2,S2.3,295.224,3,NA,NA,Spilling,W,7.3,Low,NA,NA,NA
04/02/0220/A,33,6,SE,6,7,5,NA,C,NA,NA,NA,NA,P,C,C,NA,NA,NA,C,P,NA,NA,S1.2.1.2.1,NA,825.467,4,NA,NA,Spilling,W,7.3,Moderate,NA,NA,NA
04/02/0221/A,33,6,SE,6,7,5,NA,C,NA,NA,NA,NA,NA,NA,C,NA,NA,NA,C,C,NA,NA,S1.2.1.2.1,NA,72.453,4,NA,NA,Spilling,W,7.3,Moderate,NA,NA,NA
04/02/0222/A,31,6,SE,6,7,5,NA,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C,NA,NA,NA,S1.2.1.2.1,NA,1029.596,9,NA,NA,Plunging,W,7.3,Moderate,NA,NA,NA
04/02/0223/A,42,6,SP,6,3A,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P,NA,NA,NA,S1.2.1.2.1,NA,27.08,13,NA,NA,Plunging,W,7.3,Moderate,NA,NA,NA
04/02/0224/A,51,7,P,7,9A,4,NA,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S1.2.2.2,NA,1048.918,26,NA,NA,Plunging,E,7.3,Low,NA,NA,NA
04/02/0225/A,53,10,P,10,10A,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S1.2,S2.3,318.291,3,NA,NA,Spilling,S,7.3,Low,NA,NA,NA
04/02/0226/A,51,10,P,10,10A,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S1.2,S2.3,25.135,10,NA,NA,Plunging,SW,7.3,Low,NA,NA,NA
04/02/0227/A,51,10,P,10,10A,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S1.2,S2.3,18.943,20,NA,NA,Plunging,SW,7.3,Low,NA,NA,NA
04/02/0228/A,53,10,P,10,10A,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S1.2,S2.3,248.025,16,NA,NA,Plunging,W,7.3,Low,NA,NA,NA
04/02/0229/A,51,10,P,10,10A,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S1.2,S2.3,654.401,5,NA,NA,Spilling,W,7.3,Low,NA,NA,NA
04/02/0230/A,51,1,P,1,8A,3,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S1.1,NA,186.916,75,NA,NA,Surging,W,7.3,Low,NA,NA,NA
04/02/0231/A,42,7,SP,7,9A,4,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S1.2.2.2,NA,193.926,10,NA,NA,Plunging,W,7.3,Low,NA,NA,NA
04/02/0232/A,43,7,SP,7,7,4,NA,C,NA,N,NA,NA,NA,NA,C,NA,NA,NA,C,NA,NA,NA,S1.2.2.2,NA,337.077,8,NA,NA,Plunging,W,7.3,Low,NA,NA,NA
04/02/0233/A,42,7,SP,7,5,4,NA,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C,NA,NA,NA,S1.2.2.2,NA,338.473,9,NA,NA,Plunging,W,7.3,Moderate,NA,NA,NA
04/02/0234/A,40,2,SP,2,8A,4,NA,NA,NA,M,NA,NA,C,NA,P,NA,NA,NA,C,C,NA,NA,S1.1,S1.2.1.1,165.921,31,NA,NA,Plunging,SW,7.3,Low,NA,NA,NA
04/02/0234/B,40,3,SP,3,8D,4,NA,NA,NA,M,NA,NA,C,NA,C,NA,NA,NA,C,C,NA,NA,S1.1,S1.2.1.2.1,119.229,22,NA,NA,Plunging,SW,7.3,Low,NA,NA,NA
04/02/0235/A,50,6,P,6,5,5,NA,NA,NA,M,NA,NA,C,NA,NA,NA,NA,NA,C,P,NA,NA,S1.2.1.2.1,NA,88.96,16,NA,NA,Plunging,SW,7.3,Low,NA,NA,NA
04/02/0236/A,40,3,SP,3,8A,5,NA,NA,NA,M,NA,NA,C,NA,C,NA,NA,NA,C,C,NA,NA,S1.1,S1.2.1.2.1,399.504,26,NA,NA,Plunging,S,7.3,Low,NA,NA,NA
04/02/0237/A,50,6,P,6,5,5,NA,NA,NA,M,NA,NA,C,NA,C,NA,NA,NA,C,C,NA,NA,S1.2.1.2.1,NA,225.559,15,NA,NA,Plunging,S,7.3,Low,NA,NA,NA
04/02/0238/A,50,6,P,6,5,5,NA,P,M,NA,NA,NA,P,NA,C,NA,NA,NA,C,P,NA,NA,S1.2.1.2.1,NA,486.193,10,NA,NA,Plunging,S,7.3,Low,NA,NA,NA
04/02/0239/A,40,5,SP,5,6B,4,NA,NA,NA,M,NA,NA,P,NA,C,NA,NA,NA,C,C,NA,NA,S1.2.1.1,NA,110.387,26,NA,NA,Plunging,S,7.3,Low,NA,NA,NA
04/02/0240/A,40,6,SP,6,5,5,NA,NA,M,NA,NA,NA,NA,NA,C,NA,NA,NA,C,C,NA,NA,S1.2.1.2.1,NA,98.841,15,NA,NA,Plunging,S,7.3,Low,NA,NA,NA
04/02/0241/A,40,6,SP,6,9A,5,NA,NA,M,M,NA,NA,NA,NA,NA,NA,NA,NA,C,C,NA,NA,S1.2.1.2.1,NA,68.06,12,NA,NA,Plunging,S,7.3,Low,NA,NA,NA
04/02/0242/A,42,6,SP,6,5,5,NA,NA,NA,N,NA,NA,NA,NA,P,NA,NA,NA,C,P,NA,NA,S1.2.1.2.1,NA,555.015,15,NA,NA,Plunging,S,7.3,Low,NA,NA,NA
04/02/0243/A,40,6,SP,6,5,5,NA,NA,NA,M,NA,NA,NA,NA,C,NA,NA,NA,C,C,NA,NA,S1.2.1.2.1,NA,337.681,12,NA,NA,Plunging,W,7.3,Low,NA,NA,NA
04/02/0244/A,40,7,SP,7,9A,5,NA,P,N,N,NA,NA,NA,NA,C,NA,NA,NA,C,P,NA,NA,S1.2.2.2,NA,396.287,10,NA,NA,Plunging,SW,7.3,Low,NA,NA,NA
04/02/0245/A,41,8,SP,8,7,4,NA,NA,NA,N,NA,NA,P,P,P,NA,NA,NA,P,C,NA,NA,S1.2.2.3,NA,897.834,1,NA,NA,Spilling,NW,7.3,Low,NA,NA,NA
04/02/0246/A,51,7,P,7,9A,5,NA,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C,NA,NA,S1.2.2.2,NA,1177.382,1,NA,NA,Spilling,N,7.3,Low,NA,NA,NA
04/02/0247/A,53,10,P,10,10A,5,NA,C,NA,NA,NA,NA,NA,C,NA,NA,NA,NA,NA,C,NA,NA,S1.2,S2.3,2049.46,1,NA,NA,Spilling,W,7.3,Low,NA,NA,NA
04/02/0248/A,51,8,P,8,9A,4,NA,NA,NA,N,NA,NA,NA,NA,C,NA,NA,NA,NA,P,NA,NA,S1.2.2.3,NA,293.898,2,NA,NA,Spilling,W,7.3,Low,NA,NA,NA
04/02/0249/A,51,6,P,6,5,5,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,P,NA,C,NA,NA,S1.2.1.2.1,NA,267.758,31,NA,NA,Plunging,W,7.3,Low,NA,NA,NA
04/02/0250/A,50,2,P,2,8A,4,NA,NA,NA,N,NA,NA,NA,NA,P,NA,NA,NA,NA,C,NA,NA,S1.1,S1.2.1.1,210.848,46,NA,NA,Collapsing,W,7.3,Low,NA,NA,NA
04/02/0250/B,50,6,P,6,5,5,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,C,C,NA,NA,S1.2.1.2.1,NA,89.181,18,NA,NA,Plunging,W,7.3,Low,NA,NA,NA
04/02/0250/C,50,2,P,2,8A,4,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,C,C,NA,NA,S1.1,S1.2.1.1,405.424,51,NA,NA,Collapsing,W,7.3,Low,NA,NA,NA
04/02/0250/D,50,6,P,6,5,5,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,C,C,NA,NA,S1.2.1.2.1,NA,152.533,16,NA,NA,Plunging,W,7.3,Low,NA,NA,NA
04/02/0251/A,51,1,P,1,8A,3,NA,NA,NA,N,NA,NA,P,NA,NA,NA,NA,NA,NA,C,NA,NA,S1.1,NA,104.45,68,NA,NA,Surging,W,7.3,Low,NA,NA,NA
